               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.021274,             0.01925,           0.0009952,             0.99488,             0.99678,             0.99234,             0.90261,            0.012141,            0.010647,          0.00087927,           0.0079112,           0.0079112,           0.0079112
                  50,            0.020504,            0.018406,          0.00076348,             0.99552,              0.9969,              0.9937,             0.88702,             0.01281,            0.010774,           0.0006827,           0.0078311,           0.0078311,           0.0078311
                  51,            0.020706,            0.019163,           0.0009019,             0.99646,             0.99893,             0.99327,             0.91032,            0.011726,            0.010304,          0.00060261,             0.00775,             0.00775,             0.00775
                  52,            0.019481,            0.017506,          0.00076024,             0.99522,             0.99893,             0.99325,             0.88884,            0.012634,            0.010779,          0.00064047,           0.0076679,           0.0076679,           0.0076679
                  53,            0.018888,             0.01751,           0.0009717,             0.99485,             0.99294,              0.9932,             0.88553,            0.012896,            0.011488,           0.0008554,           0.0075848,           0.0075848,           0.0075848
                  54,            0.020026,            0.017713,          0.00086031,               0.996,             0.99733,             0.99301,             0.86577,            0.013584,            0.011223,          0.00054707,           0.0075009,           0.0075009,           0.0075009
                  55,            0.020389,             0.01823,          0.00078875,             0.99547,             0.99679,             0.99397,             0.91178,            0.011104,            0.010377,          0.00062808,            0.007416,            0.007416,            0.007416
                  56,            0.018915,            0.017008,          0.00094379,             0.99605,              0.9984,             0.99306,             0.90881,            0.011203,            0.010114,          0.00072325,           0.0073303,           0.0073303,           0.0073303
                  57,            0.019726,            0.017447,          0.00083719,             0.99632,                   1,             0.99315,              0.8995,            0.011827,            0.010389,          0.00061074,           0.0072438,           0.0072438,           0.0072438
                  58,            0.019217,            0.017373,           0.0008264,             0.99558,             0.99946,             0.99367,             0.91181,            0.011294,           0.0098637,          0.00063759,           0.0071566,           0.0071566,           0.0071566
                  59,            0.019137,            0.017781,          0.00076374,             0.99475,             0.99893,             0.99348,              0.8947,            0.011654,            0.010226,          0.00053122,           0.0070686,           0.0070686,           0.0070686
                  60,             0.01896,            0.017413,          0.00077158,              0.9944,             0.99893,             0.99293,             0.90255,            0.011865,            0.010058,          0.00060757,           0.0069799,           0.0069799,           0.0069799
                  61,            0.018208,            0.015999,          0.00077886,             0.99596,             0.99893,             0.99326,              0.9172,            0.010709,           0.0096905,          0.00058062,           0.0068906,           0.0068906,           0.0068906
                  62,            0.019078,             0.01743,          0.00069564,             0.99619,                   1,             0.99367,              0.9106,            0.011681,            0.010209,          0.00049972,           0.0068006,           0.0068006,           0.0068006
                  63,            0.018737,            0.017454,           0.0007246,             0.99689,              0.9984,              0.9939,             0.91303,            0.011164,           0.0099614,          0.00059154,           0.0067101,           0.0067101,           0.0067101
                  64,            0.018329,            0.016446,          0.00079084,             0.99543,             0.99893,             0.99307,             0.92158,            0.010946,           0.0095358,          0.00058276,           0.0066191,           0.0066191,           0.0066191
                  65,            0.017896,            0.016658,          0.00076745,             0.99585,             0.99893,             0.99374,             0.91443,            0.010935,           0.0095241,          0.00052814,           0.0065276,           0.0065276,           0.0065276
                  66,             0.01809,            0.016773,          0.00086192,             0.99581,              0.9984,             0.99307,             0.92392,            0.010268,           0.0094465,          0.00058951,           0.0064356,           0.0064356,           0.0064356
                  67,            0.017374,            0.016149,           0.0007222,             0.99707,             0.99945,             0.99374,             0.91824,             0.01069,           0.0096919,          0.00048336,           0.0063432,           0.0063432,           0.0063432
                  68,            0.017517,            0.016715,          0.00069075,              0.9954,              0.9984,             0.99364,             0.93259,            0.010018,           0.0091373,          0.00057203,           0.0062505,           0.0062505,           0.0062505
                  69,             0.01736,            0.016247,           0.0007934,             0.99583,             0.99946,             0.99358,              0.9237,            0.010594,           0.0095139,          0.00055242,           0.0061574,           0.0061574,           0.0061574
                  70,            0.017974,             0.01685,          0.00080803,             0.92092,             0.90021,             0.98505,             0.88056,            0.012573,            0.011631,            0.011088,            0.006064,            0.006064,            0.006064
                  71,             0.01706,            0.016285,          0.00096468,             0.99603,             0.99786,             0.99383,             0.91151,            0.010795,           0.0094429,          0.00052323,           0.0059704,           0.0059704,           0.0059704
