               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.030761,            0.014755,          0.00089726,             0.99782,             0.99397,             0.99498,             0.85587,            0.026914,            0.010288,          0.00069253,            0.006832,            0.006832,            0.006832
                  50,            0.030771,            0.015123,          0.00098945,             0.99648,             0.99138,             0.99492,             0.84134,            0.027086,            0.010767,          0.00077658,            0.006766,            0.006766,            0.006766
                  51,            0.030563,            0.014825,           0.0010318,             0.90718,             0.90108,             0.97729,             0.82533,            0.027097,            0.010757,            0.010074,              0.0067,              0.0067,              0.0067
                  52,            0.029985,            0.014952,           0.0010394,             0.99445,             0.99248,              0.9949,             0.85139,            0.026838,            0.010469,          0.00071055,            0.006634,            0.006634,            0.006634
                  53,            0.029854,            0.014648,          0.00090978,             0.99631,             0.99699,             0.99496,             0.85479,            0.027014,            0.010356,          0.00073761,            0.006568,            0.006568,            0.006568
                  54,            0.029342,            0.014436,            0.001002,             0.99552,             0.99649,             0.99497,             0.86625,            0.025812,            0.010123,          0.00070473,            0.006502,            0.006502,            0.006502
                  55,            0.029347,            0.014292,          0.00094627,             0.99563,             0.99345,             0.99491,             0.85781,            0.026684,            0.010502,          0.00079431,            0.006436,            0.006436,            0.006436
                  56,            0.029793,            0.014825,            0.001099,             0.99646,             0.99549,             0.99483,             0.85886,             0.02603,            0.010388,          0.00065911,             0.00637,             0.00637,             0.00637
                  57,            0.028996,            0.014423,           0.0010063,             0.99448,              0.9934,             0.99488,             0.86315,             0.02645,             0.01008,          0.00071128,            0.006304,            0.006304,            0.006304
                  58,            0.030305,            0.015098,           0.0009699,             0.99598,             0.99341,             0.99495,             0.85525,            0.026836,            0.010185,          0.00060233,            0.006238,            0.006238,            0.006238
                  59,            0.029462,            0.014874,          0.00082569,             0.99698,             0.99396,             0.99496,             0.86527,            0.025666,            0.009983,          0.00060979,            0.006172,            0.006172,            0.006172
                  60,             0.02906,            0.014835,           0.0010191,             0.98947,             0.98737,             0.99331,             0.85955,            0.026021,            0.010325,           0.0009071,            0.006106,            0.006106,            0.006106
                  61,             0.02955,            0.014186,           0.0010499,             0.99318,             0.99599,             0.99492,             0.85749,            0.026107,            0.010234,          0.00058346,             0.00604,             0.00604,             0.00604
                  62,            0.029475,            0.014769,          0.00087754,              0.9939,             0.98788,             0.99389,              0.8663,            0.026253,            0.010388,          0.00065301,            0.005974,            0.005974,            0.005974
